software,algorithm,pop_size,max_evals,fitness,fold,llm_model,reference_fitness_train,best_patch_fitness_train,change_perc_train,reference_fitness_validate,patch_fitness_validate,change_perc_validate,patch_length,search_time_minutes,Vt,Vc,llm_patches_requested,llm_malformed_patches,llm_missing_patches,llm_malformed_ratio,llm_missing_ratio,train_log,validate_log
weka,UMDAAlgorithm,50.0,250,Perf<Cycles>,3,qwen2.5-coder:7b,96125157887.0,94894340157.0,-1.28,32643265855.0,33117884658.0,1.454,2,308.7597666666667,0.192,0.204,196.0,71.0,0.0,0.362,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781773806_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122075_FOLD3-val_1781773806_UMDAAlgorithm_qwen2.5-coder:7b.log
weka,UMDAAlgorithm,50.0,500,Perf<Cycles>,5,qwen2.5-coder:7b,101543961128.0,99791927437.0,-1.725,23180668185.0,23065246565.0,-0.498,2,110.56793333333331,0.4,0.402,441.0,47.0,109.0,0.107,0.247,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781787337_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122088_FOLD5-val_1781787337_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,500,Perf<Cycles>,1,qwen2.5-coder:7b,78005742598.0,29125885286.0,-62.662,8371973076.0,8121212114.0,-2.995,1,108.97051666666668,0.358,0.398,441.0,45.0,129.0,0.102,0.293,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781787666_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782122337_FOLD1-val_1781787666_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,500,Perf<Cycles>,2,qwen2.5-coder:7b,77672122781.0,72709981961.0,-6.389,8318842126.0,8332409972.0,0.163,1,110.40918333333336,0.418,0.456,441.0,17.0,78.0,0.039,0.177,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781789736_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782122340_FOLD2-val_1781789736_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,500,Perf<Cycles>,5,qwen2.5-coder:7b,41942355583.0,38941580818.0,-7.155,43583278624.0,42000620990.0,-3.631,1,80.8088,0.388,0.432,441.0,0.0,170.0,0.0,0.385,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781792540_FOLD5.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782122341_FOLD5-val_1781792540_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,500,Perf<Cycles>,3,qwen2.5-coder:7b,63848144368.0,30630308143.0,-52.026,21855637903.0,6676169129.0,-69.453,2,102.45758333333332,0.372,0.41,441.0,41.0,98.0,0.093,0.222,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781791378_FOLD3.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782122339_FOLD3-val_1781791378_UMDAAlgorithm_qwen2.5-coder:7b.log
pngOptim,UMDAAlgorithm,50.0,250,Perf<Cycles>,1,qwen2.5-coder:7b,371360511418.0,331466634994.0,-10.743,13965599051.0,11841584410.0,-15.209,2,299.40226666666666,0.492,0.6,196.0,92.0,0.0,0.469,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1781778426_FOLD1.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1782109496_FOLD1-val_1781778426_UMDAAlgorithm_qwen2.5-coder:7b.log
sat4j,UMDAAlgorithm,50.0,500,Perf<Cycles>,4,qwen2.5-coder:7b,77963257716.0,65193909754.0,-16.379,5956178958.0,5839970627.0,-1.951,3,132.60565,0.5,0.536,441.0,12.0,164.0,0.027,0.372,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1781792076_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/sat4j_1782122342_FOLD4-val_1781792076_UMDAAlgorithm_qwen2.5-coder:7b.log
weka,UMDAAlgorithm,50.0,250,Perf<Cycles>,2,qwen2.5-coder:7b,106051087939.0,102261206458.0,-3.574,23616145538.0,23419553589.0,-0.832,3,490.61806666666666,0.276,0.356,196.0,0.0,0.0,0.0,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1781773704_FOLD2.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/weka_1782122076_FOLD2-val_1781773704_UMDAAlgorithm_qwen2.5-coder:7b.log
pngOptim,UMDAAlgorithm,50.0,500,Perf<Cycles>,4,qwen2.5-coder:7b,246412269852.0,224342027534.0,-8.957,140117228921.0,129156843673.0,-7.822,2,223.55246666666665,0.362,0.42,441.0,238.0,0.0,0.54,0.0,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1781794325_FOLD4.log,/home/pbermejo/GeneticImprovement/magpie/_magpie_logs/pngOptim_1782109620_FOLD4-val_1781794325_UMDAAlgorithm_qwen2.5-coder:7b.log
